sample,read
FEO,/Volumes/Seagate/monotrac/syn_reads_LRL/FEO.fq.gz
GMOM-ZM-83-TRPZ-317,/Volumes/Seagate/monotrac/syn_reads_LRL/GMOM-ZM-83-TRPZ-317.fq.gz
GPAP-CI-82-KP10-29,/Volumes/Seagate/monotrac/syn_reads_LRL/GPAP-CI-82-KP10-29.fq.gz
HAMBURG,/Volumes/Seagate/monotrac/syn_reads_LRL/HAMBURG.fq.gz
IVMt1,/Volumes/Seagate/monotrac/syn_reads_LRL/IVMt1.fq.gz
Jua,/Volumes/Seagate/monotrac/syn_reads_LRL/Jua.fq.gz
Kazakstan,/Volumes/Seagate/monotrac/syn_reads_LRL/Kazakstan.fq.gz
Kenya,/Volumes/Seagate/monotrac/syn_reads_LRL/Kenya.fq.gz
LIGO,/Volumes/Seagate/monotrac/syn_reads_LRL/LIGO.fq.gz
LOGRA,/Volumes/Seagate/monotrac/syn_reads_LRL/LOGRA.fq.gz
LiTat-1-5-P9,/Volumes/Seagate/monotrac/syn_reads_LRL/LiTat-1-5-P9.fq.gz
MBA,/Volumes/Seagate/monotrac/syn_reads_LRL/MBA.fq.gz
MBO-NG-74-R10,/Volumes/Seagate/monotrac/syn_reads_LRL/MBO-NG-74-R10.fq.gz
MBOT-GM-77-GB2,/Volumes/Seagate/monotrac/syn_reads_LRL/MBOT-GM-77-GB2.fq.gz
MCAM-ET-2013-MU-01,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-01.fq.gz
MCAM-ET-2013-MU-02,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-02.fq.gz
MCAM-ET-2013-MU-04,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-04.fq.gz
MCAM-ET-2013-MU-05,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-05.fq.gz
MCAM-ET-2013-MU-09,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-09.fq.gz
MCAM-ET-2013-MU-14,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-14.fq.gz
MCAM-ET-2013-MU-17,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAM-ET-2013-MU-17.fq.gz
MCAP-CI-91-BALEA-2,/Volumes/Seagate/monotrac/syn_reads_LRL/MCAP-CI-91-BALEA-2.fq.gz
MHOM-SD-82-BIYAMINA,/Volumes/Seagate/monotrac/syn_reads_LRL/MHOM-SD-82-BIYAMINA.fq.gz
MHOM-SD-82-MUSIKIA-cloneA,/Volumes/Seagate/monotrac/syn_reads_LRL/MHOM-SD-82-MUSIKIA-cloneA.fq.gz
MHOM-ZM-80-TRPZ-23,/Volumes/Seagate/monotrac/syn_reads_LRL/MHOM-ZM-80-TRPZ-23.fq.gz
MHOM-ZM-83-TRPZ-349,/Volumes/Seagate/monotrac/syn_reads_LRL/MHOM-ZM-83-TRPZ-349.fq.gz
MSUS-CI-78-TSW-157,/Volumes/Seagate/monotrac/syn_reads_LRL/MSUS-CI-78-TSW-157.fq.gz
MSUS-CI-78-TSW382,/Volumes/Seagate/monotrac/syn_reads_LRL/MSUS-CI-78-TSW382.fq.gz
MSUS-CI-82-TSW62,/Volumes/Seagate/monotrac/syn_reads_LRL/MSUS-CI-82-TSW62.fq.gz
MSUS-CI-83-TSW-11,/Volumes/Seagate/monotrac/syn_reads_LRL/MSUS-CI-83-TSW-11.fq.gz
MU09,/Volumes/Seagate/monotrac/syn_reads_LRL/MU09.fq.gz
MU10,/Volumes/Seagate/monotrac/syn_reads_LRL/MU10.fq.gz
Merzouga-56,/Volumes/Seagate/monotrac/syn_reads_LRL/Merzouga-56.fq.gz
NDMI,/Volumes/Seagate/monotrac/syn_reads_LRL/NDMI.fq.gz
NKOUA,/Volumes/Seagate/monotrac/syn_reads_LRL/NKOUA.fq.gz
Nabe,/Volumes/Seagate/monotrac/syn_reads_LRL/Nabe.fq.gz
OUSOU,/Volumes/Seagate/monotrac/syn_reads_LRL/OUSOU.fq.gz
OVI,/Volumes/Seagate/monotrac/syn_reads_LRL/OVI.fq.gz
Pakwa,/Volumes/Seagate/monotrac/syn_reads_LRL/Pakwa.fq.gz
Philippines,/Volumes/Seagate/monotrac/syn_reads_LRL/Philippines.fq.gz
ROUPO-VAVOUA--80-MURAZ-14,/Volumes/Seagate/monotrac/syn_reads_LRL/ROUPO-VAVOUA--80-MURAZ-14.fq.gz
RoTat_1_2,/Volumes/Seagate/monotrac/syn_reads_LRL/RoTat_1_2.fq.gz
Rumphi,/Volumes/Seagate/monotrac/syn_reads_LRL/Rumphi.fq.gz
STIB-816,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB-816.fq.gz
STIB-851,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB-851.fq.gz
STIB247,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB247.fq.gz
STIB386,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB386.fq.gz
STIB805,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB805.fq.gz
STIB818,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB818.fq.gz
STIB900,/Volumes/Seagate/monotrac/syn_reads_LRL/STIB900.fq.gz
SVP,/Volumes/Seagate/monotrac/syn_reads_LRL/SVP.fq.gz
Te-Ap-N-D1,/Volumes/Seagate/monotrac/syn_reads_LRL/Te-Ap-N-D1.fq.gz
UPA_PO,/Volumes/Seagate/monotrac/syn_reads_LRL/UPA_PO.fq.gz
Zagora-I-17,/Volumes/Seagate/monotrac/syn_reads_LRL/Zagora-I-17.fq.gz
